,age,income,children,credit_history,overdue_payments,active_loans,years_in_job,employment_type,owns_property,assets_value,other_loans,education,city,marital_status,support_indicator ,credit_risk
0,44,15689 złoty,brak,dobra historia,brak opóźnień,2,9,samozatrudnienie,,,1,wyższe,małe,żonaty/zamężna,0.1781307183164518,0
1,38,18906 złoty,4 dzieci,brak historii,brak opóźnień,0,1,stała,tak,62965 złoty,0,średnie,średnie,kawaler/panna,0.3704799526452771,0
2,46,16338 złoty,2 dzieci,,,2,4,brak,tak,124967 złoty,0,podstawowe,duże,żonaty/zamężna,0.7123342931374561,0
3,55,23276 złoty,3 dzieci,dobra historia,opóźnienia,2,10,stała,tak,52147 złoty,1,średnie,małe,kawaler/panna,0.6650496640103427,0
4,37,40000 złoty,1 dzieci,brak historii,,1,9,określona,nie,33957 złoty,1,wyższe,małe,kawaler/panna,0.607150978647289,0
5,37,,brak,dobra historia,opóźnienia,1,11,określona,tak,85621 złoty,0,wyższe,duże,kawaler/panna,0.1659691144871057,0
6,55,36330 złoty,brak,brak historii,brak opóźnień,1,15,stała,tak,122819 złoty,1,średnie,duże,rozwiedziony/rozwiedziona,0.0938100421038448,0
7,47,14900 złoty,3 dzieci,brak historii,brak opóźnień,2,9,stała,nie,181387 złoty,1,wyższe,średnie,żonaty/zamężna,0.179900923906718,0
8,35,14417 złoty,brak,dobra historia,brak opóźnień,1,6,stała,nie,58159 złoty,0,średnie,średnie,kawaler/panna,0.7955977885778881,0
9,45,33166 złoty,brak,dobra historia,opóźnienia,2,12,stała,,,0,wyższe,małe,kawaler/panna,0.7898826064021913,0
10,35,34925 złoty,1 dzieci,,,2,1,określona,nie,246233 złoty,1,wyższe,średnie,kawaler/panna,0.6809489263686886,0
11,35,33715 złoty,brak,dobra historia,brak opóźnień,2,10,brak,nie,87043 złoty,0,średnie,małe,kawaler/panna,0.8999721866102594,0
12,42,11408 złoty,1 dzieci,dobra historia,opóźnienia,3,16,określona,tak,209666 złoty,1,średnie,małe,kawaler/panna,0.0476890109948814,0
13,20,17448 złoty,brak,dobra historia,,1,6,samozatrudnienie,tak,193520 złoty,0,podstawowe,duże,kawaler/panna,0.6494921014438799,0
14,22,,1 dzieci,,brak opóźnień,1,6,określona,tak,202173 złoty,0,podstawowe,średnie,kawaler/panna,0.8261191510818503,0
15,34,22488 złoty,3 dzieci,brak historii,,0,19,określona,tak,48217 złoty,0,średnie,średnie,żonaty/zamężna,0.520705483731618,0
16,29,12876 złoty,brak,brak historii,,0,11,samozatrudnienie,tak,34306 złoty,1,średnie,średnie,żonaty/zamężna,0.4123042306653312,0
17,43,27699 złoty,brak,brak historii,,3,10,stała,tak,,0,średnie,średnie,żonaty/zamężna,0.6815732273498396,0
18,30,15407 złoty,brak,brak historii,brak opóźnień,1,11,stała,nie,16152 złoty,0,średnie,małe,kawaler/panna,0.7104528735565884,0
19,25,40000 złoty,4 dzieci,,opóźnienia,1,5,stała,tak,96214 złoty,0,wyższe,średnie,żonaty/zamężna,0.678565271016807,0
20,54,40000 złoty,brak,brak historii,brak opóźnień,1,15,określona,tak,,0,podstawowe,średnie,żonaty/zamężna,0.9599002883617176,0
21,37,29793 złoty,brak,,brak opóźnień,3,17,stała,tak,75607 złoty,0,podstawowe,średnie,kawaler/panna,0.967530229997759,0
22,40,40000 złoty,1 dzieci,,opóźnienia,2,8,samozatrudnienie,nie,47484 złoty,0,średnie,średnie,kawaler/panna,0.6292893356468282,0
23,25,,brak,brak historii,brak opóźnień,1,12,stała,tak,45541 złoty,0,wyższe,małe,rozwiedziony/rozwiedziona,0.965031218373284,0
24,34,32296 złoty,4 dzieci,dobra historia,brak opóźnień,1,14,określona,,30457 złoty,1,wyższe,małe,żonaty/zamężna,0.9274676214153812,0
25,41,40000 złoty,3 dzieci,brak historii,brak opóźnień,1,15,stała,nie,66863 złoty,0,podstawowe,średnie,rozwiedziony/rozwiedziona,0.2276684030245411,0
